,HoursActual,HoursEstimate,HoursPredict
80,3.5,14.0,2.598369264678398
81,1.75,1.75,1.028963807749495
82,1.75,1.75,1.028963807749495
83,7.0,7.0,2.0388951315087476
84,0.7,1.75,1.0133638239732627
85,0.7,0.7,0.46287391929120075
86,7.0,10.5,2.285956366772301
87,1.75,3.5,1.455577995951743
88,5.25,1.75,1.0183802480303155
89,0.7,0.7,0.46287391929120075
90,10.5,14.0,2.604606248898302
91,3.5,1.75,1.028963807749495
92,42.0,7.0,2.022676383531168
93,0.7,1.75,1.0133638239732627
94,5.25,1.75,1.0183802480303155
95,7.0,7.0,2.022676383531168
96,7.0,7.0,2.015587462370485
97,3.5,3.5,1.455577995951743
